wall_timestamp,cam_id,rsu_id,payload_bytes,seq
1786597222.501668,CAM_05,RSU_02,156,15
1786597222.883213,CAM_06,RSU_03,155,16
1786597223.296211,CAM_07,RSU_03,158,16
1786597223.975213,CAM_01,RSU_01,156,16
1786597224.381726,CAM_02,RSU_01,156,16
1786597224.741769,CAM_03,RSU_02,156,16
1786597225.210903,CAM_04,RSU_02,155,16
1786597226.005902,CAM_05,RSU_02,156,16
1786597226.424943,CAM_06,RSU_03,155,17
1786597227.386011,CAM_07,RSU_03,157,17
1786597227.962078,CAM_01,RSU_01,156,17
1786597228.462134,CAM_02,RSU_01,156,17
1786597228.799133,CAM_03,RSU_02,156,17
1786597229.480685,CAM_04,RSU_02,156,17
1786597229.810681,CAM_05,RSU_02,155,17
1786597230.141681,CAM_06,RSU_03,155,18
1786597230.480713,CAM_07,RSU_03,158,18
1786597230.990758,CAM_01,RSU_01,156,18
1786597231.404366,CAM_02,RSU_01,156,18
1786597231.732468,CAM_03,RSU_02,156,18
1786597232.214141,CAM_04,RSU_02,155,18
1786597232.642206,CAM_05,RSU_02,156,18
1786597233.018823,CAM_06,RSU_03,156,19
1786597233.385980,CAM_07,RSU_03,157,19
1786597234.003681,CAM_01,RSU_01,156,19
1786597234.862200,CAM_02,RSU_01,156,19
1786597235.246200,CAM_03,RSU_02,154,19
1786597235.600199,CAM_04,RSU_02,156,19
1786597235.996271,CAM_05,RSU_02,156,19
1786597236.341270,CAM_06,RSU_03,155,20
1786597236.689352,CAM_07,RSU_03,158,20
1786597237.474412,CAM_01,RSU_01,156,20
1786597238.137016,CAM_02,RSU_01,156,20
1786597238.551044,CAM_03,RSU_02,156,20
1786597239.325046,CAM_04,RSU_02,156,20
1786597240.805044,CAM_05,RSU_02,156,20
1786597241.732047,CAM_06,RSU_03,156,21
1786597242.065045,CAM_07,RSU_03,158,21
1786597245.315088,CAM_01,RSU_01,156,21
1786597246.453088,CAM_02,RSU_01,156,21
1786597247.601090,CAM_03,RSU_02,156,21
1786597248.535088,CAM_04,RSU_02,156,21
1786597249.463087,CAM_05,RSU_02,156,21
1786597250.525089,CAM_06,RSU_03,156,22
1786597251.458088,CAM_07,RSU_03,158,22
1786597252.962089,CAM_01,RSU_01,156,22
1786597254.270088,CAM_02,RSU_01,156,22
1786597255.410089,CAM_03,RSU_02,156,22
1786597257.268088,CAM_04,RSU_02,156,22
1786597258.236094,CAM_05,RSU_02,156,22
1786597259.267089,CAM_06,RSU_03,156,23
1786597260.479089,CAM_07,RSU_03,158,23
1786597262.450089,CAM_01,RSU_01,156,23
1786597263.609088,CAM_02,RSU_01,156,23
1786597264.549966,CAM_03,RSU_02,156,23
1786597268.643056,CAM_04,RSU_02,156,23
