wall_timestamp,rsu_id,payload_bytes,seq
1786597462.305821,RSU_01,545,46
1786597462.370817,RSU_02,702,46
1786597462.419817,RSU_03,549,46
1786597467.642015,RSU_01,544,47
1786597467.684016,RSU_02,703,47
1786597467.737014,RSU_03,548,47
1786597472.929015,RSU_01,544,48
1786597473.028015,RSU_02,703,48
1786597473.161015,RSU_03,547,48
1786597478.277817,RSU_01,544,49
1786597478.285816,RSU_02,702,49
1786597478.315819,RSU_03,547,49
1786597483.370816,RSU_01,546,50
1786597483.405817,RSU_02,703,50
1786597483.414831,RSU_03,547,50
1786597488.689809,RSU_01,545,51
1786597488.837795,RSU_02,703,51
1786597488.980794,RSU_03,548,51
1786597494.204794,RSU_01,545,52
1786597494.271794,RSU_02,703,52
1786597494.398794,RSU_03,548,52
1786597499.663840,RSU_01,545,53
1786597499.726840,RSU_02,703,53
1786597499.823840,RSU_03,548,53
1786597505.183980,RSU_01,544,54
1786597505.229990,RSU_02,703,54
1786597505.740980,RSU_03,547,54
1786597511.478498,RSU_01,544,55
1786597511.544500,RSU_02,701,55
1786597511.639497,RSU_03,547,55
1786597517.843778,RSU_01,544,56
1786597517.984779,RSU_02,699,56
1786597518.337780,RSU_03,548,56
1786597523.594701,RSU_01,544,57
1786597523.652701,RSU_02,699,57
1786597523.752701,RSU_03,549,57
1786597529.141737,RSU_01,545,58
1786597529.274739,RSU_02,700,58
1786597529.365741,RSU_03,549,58
1786597534.578577,RSU_01,545,59
1786597534.634589,RSU_02,702,59
1786597534.854578,RSU_03,549,59
1786597540.072734,RSU_01,546,60
1786597540.122735,RSU_02,702,60
1786597540.212737,RSU_03,549,60
1786597545.435766,RSU_01,546,61
1786597545.643766,RSU_02,702,61
1786597545.850765,RSU_03,547,61
1786597551.034963,RSU_01,544,62
1786597551.086962,RSU_02,701,62
1786597551.177961,RSU_03,547,62
1786597556.478961,RSU_01,544,63
1786597556.544963,RSU_02,699,63
1786597556.636961,RSU_03,547,63
1786597561.810220,RSU_01,546,64
1786597561.856221,RSU_02,701,64
1786597561.931223,RSU_03,547,64
1786597567.715857,RSU_01,546,65
1786597567.754856,RSU_02,703,65
1786597567.832855,RSU_03,549,65
1786597573.623858,RSU_01,545,66
1786597573.705858,RSU_02,702,66
1786597574.246856,RSU_03,549,66
1786597579.739185,RSU_01,545,67
1786597579.880185,RSU_02,702,67
1786597580.439710,RSU_03,549,67
1786597585.819812,RSU_01,544,68
1786597585.854812,RSU_02,702,68
1786597585.937814,RSU_03,548,68
1786597591.221843,RSU_01,544,69
1786597591.299844,RSU_02,702,69
1786597591.381844,RSU_03,548,69
1786597596.696957,RSU_01,544,70
1786597596.870955,RSU_02,702,70
1786597596.984955,RSU_03,548,70
1786597602.438955,RSU_01,546,71
1786597602.486955,RSU_02,703,71
1786597602.566959,RSU_03,548,71
1786597607.799927,RSU_01,546,72
1786597607.840921,RSU_02,703,72
1786597607.895920,RSU_03,546,72
1786597613.067960,RSU_01,544,73
1786597613.116962,RSU_02,703,73
1786597613.228962,RSU_03,546,73
1786597619.151958,RSU_01,544,74
1786597619.248961,RSU_02,701,74
1786597619.379960,RSU_03,546,74
1786597624.640709,RSU_01,544,75
1786597624.685712,RSU_02,700,75
1786597624.752709,RSU_03,547,75
1786597629.854983,RSU_01,544,76
1786597629.857980,RSU_02,700,76
1786597629.859976,RSU_03,549,76
